CellPhoneNumber;FirstName;LastName;DateOfBirth;Nationality;SIMActivationDate;Location;SourceSystemName;CreatedDate;ModifiedDate
27796664125;Thandazile;Fakude;;South African;2024/06/26;Johannesburg;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27797256727;Bhekokwakhe;Dwala;;South African;2024/09/21;Durban;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27798562157;Jeffrey;Morgan;;South African;2024/07/24;Krugersdorp;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27799314934;Gerald;Bailey;;South African;2023/11/15;Soshanguve;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27799933613;Sithembiso;Mvubu;;South African;2024/09/29;Benoni;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27700408017;Roger;Pritchard;1998/12/17;South African;2024/12/23;Port Elizabeth;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27704465602;Johw;Tran;2003/09/22;South African;2024/09/08;Tshwane;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27700498064;Sithembiso;Sabelo;1961/01/02;South African;2023/10/05;Cape Town;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27700536653;Thabani;Phewa;1960/10/20;South African;2025/06/03;Soshanguve;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27701422836;Erin;Carlson;1965/10/10;South African;2024/10/09;Soshanguve;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27702126483;Margaret;Wright;1971/06/11;South African;2023/11/22;Cape Town;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27702983213;Bandile;Kweyama;2002/08/18;South African;2024/02/26;Johannesburg;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27703402404;Nomasonto;Ndandali;1970/10/25;South African;2024/02/05;Johannesburg;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27704552601;Jill;Young;1990/09/09;South African;2025/02/24;Johannesburg;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27705295490;Thabisile;Mtolo;1984/02/22;South African;2025/01/24;Cape Town;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27705781665;Zinhle;Dumisa;1980/03/05;South African;2023/09/29;Cape Town;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27706347171;Nozizwe;Hlela;2006/02/21;South African;2024/09/29;Ekurhuleni;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27706908401;Siphesihle;Dinabantu;2005/11/10;South African;2025/01/02;Johannesburg;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27707578628;Thembile;Madonsela;1941/04/17;South African;2024/09/29;Durban;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27708162164;Sihawukele;Shoyisa;1956/04/01;South African;2024/08/29;Port Elizabeth;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27709138730;Mlungisi;Ndwandwe;1968/12/03;South African;2023/11/28;Johannesburg;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27709654582;Eric;Collins;1941/01/08;South African;2023/10/25;Kimberley;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27710361466;Ross;Silva;1964/03/23;South African;2024/09/23;East London;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27711312486;Vusumuzi;Maphindela;1974/04/07;South African;2023/09/14;Port Elizabeth;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27712113164;Ndumiso;Mkhumbuzi;1986/05/17;South African;2023/12/17;Ekurhuleni;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27712385865;Nicole;Potter;1991/11/23;South African;2024/11/23;Pretoria;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27712488797;Amahle;Mdlanyoka;2004/12/01;South African;2024/03/07;Cape Town;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27712755488;Mandla;Ngobisi;1963/06/27;South African;2023/09/07;Johannesburg;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27714185136;Thuthukile;Mawewe;1996/06/25;South African;2025/04/15;Cape Town;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27715983327;Timothy;Davies;2000/04/21;South African;2024/10/06;Pretoria;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27717286902;John;Ford;1957/12/17;South African;2024/12/31;Ekurhuleni;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27718061525;Thembisile;Majola;1966/10/16;South African;2025/06/03;Cape Town;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27718983643;Gemma;Ferguson;1959/07/17;South African;2025/03/05;Johannesburg;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27719396045;Nomathalente;Phingoshe;1958/07/20;South African;2023/12/11;Johannesburg;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27719961318;Ndumiso;Dinangwe;1979/08/17;South African;2024/01/23;Ekurhuleni;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27720029924;Mnqo;Hlongwane;1974/07/31;South African;2024/05/28;Cape Town;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27720125760;SimphiweyiNkosi;Sikobi;2002/07/03;South African;2024/06/19;Johannesburg;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27720593040;Sihawukele;Ndawo;1990/05/06;South African;2024/06/18;Johannesburg;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27720714523;Sandra;Sellers;1980/05/07;South African;2024/06/30;Cape Town;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27721198397;Tomy;Warner;1965/06/12;South African;2025/02/06;Klerksdorp;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27721340588;Janice;Hopkins;1968/04/20;South African;2023/12/22;Durban;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27721345908;Nomathalente;Gubhuza;1950/10/18;South African;2024/04/26;Kaapstad;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27722330476;Silondile;Khubisa;1979/10/10;South African;2023/09/05;Johannesburg;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27722745553;Katy;Smith;1985/02/11;South African;2024/05/26;Gqeberha;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27723131974;Lynda;Davison;1954/01/02;South African;2024/07/08;Soshanguve;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27724493478;Danielle;Johnson;1958/04/22;South African;2024/02/05;Johannesburg;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27725138892;Thandazile;Gcaba;1963/02/12;South African;2025/05/08;Durban;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27725463719;Nomy;Ntshingila;1959/09/17;South African;2024/02/15;Durban;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27726147995;Thembekile;Gubhuza;1955/03/04;South African;2024/11/09;Durban;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27726176224;Vanessa;Brooks;1969/05/28;South African;2025/05/28;Kaapstad;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27726606265;Zenzile;Dindi;1961/10/15;South African;2025/03/27;Welkom;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27728019757;Nozizwe;Mngwengwe;1976/04/14;South African;2024/09/19;Ekurhuleni;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27728547628;Janw;Williams;1955/06/02;South African;2023/12/05;Springs;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27728744137;Simphiwe;Msamkhulu;1979/08/20;South African;2024/05/04;Cape Town;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27729603611;Debra;Smith;1977/03/28;South African;2024/03/08;Cape Town;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27729733969;S'fiso;Galu;1948/04/06;South African;2024/10/02;Johannesburg;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27730008139;Brian;Thomas;1955/02/06;South African;2023/12/13;East London;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27732183258;Anna;Baldwin;1987/04/26;South African;2025/02/05;Johannesburg;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27732960859;Clare;Wilkins;1949/02/03;South African;2024/06/21;Cape Town;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27734401930;Douglas;Taylor;1990/04/15;South African;2024/01/09;Johannesburg;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27734512854;Lonw;Ximba;1992/05/25;South African;2025/01/01;East London;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27734580420;Thembekile;Magononde;1993/06/29;South African;2025/01/25;Bloemfontein;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27734810654;Nomcebo;Ngobisi;2003/08/01;South African;2023/10/11;Johannesburg;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27735555294;Nhlanhla;Ngazitha;1971/12/08;South African;2024/09/09;Ekurhuleni;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27736685370;Thabani;Mavela;1965/01/13;South African;2024/05/03;Cape Town;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27737391314;Thembile;Mahlinza;1981/01/12;South African;2023/09/26;Rustenburg;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27738285947;Katy;Jones;1977/01/02;South African;2024/08/13;Ekurhuleni;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27739163904;Marcus;Page;1991/06/11;South African;2025/06/05;Durban;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27739590700;Kimberly;Perez;1941/10/10;South African;2024/10/27;Ekurhuleni;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27740407777;Nkazimulo;Mnyoni;1957/08/04;South African;2024/01/02;Benoni;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27740678513;Rita;Kaur;1954/05/08;South African;2024/12/10;Egoli;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27741042905;Nhlanhla;Sibindi;1999/07/14;South African;2023/12/24;Cape Town;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27741562035;Thae;Ngidi;1994/03/09;South African;2023/10/21;Middelburg;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27741797104;Mandla;Njinji;1998/03/28;South African;2023/08/11;Durban;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27742020320;Nothando;Shoyisa;1943/12/04;South African;2025/05/03;Ekurhuleni;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27743282991;Jabulani;Ngazitha;1952/09/25;South African;2025/05/31;Johannesburg;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27744036820;Jesse;Garcia;1958/07/05;South African;2025/03/13;Klerksdorp;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27745481138;Londisizwe;Zikhungwini;1997/04/19;South African;2024/06/05;Polokwane;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27746205845;Mthokozisi;Sithole;1992/09/04;South African;2024/08/14;Boksburg;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27746721111;Sandile;Magononde;1942/01/16;South African;2025/01/28;Springs;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27747092401;Angela;Chapman;1940/01/30;South African;2024/11/04;Cape Town;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27748057905;Eric;Smith;1988/09/23;South African;2025/04/02;West Rand;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27749852120;Kelly;Wilkinson;2005/10/23;South African;2023/12/08;Pretoria;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27749895634;Mine;Mondise;1955/06/04;South African;2025/02/16;Johannesburg;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27749951541;Nomagugu;Khabalidaka;1977/02/27;South African;2025/05/15;Johannesburg;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27750711986;Njai;Dumisa;1952/01/29;South African;2023/08/05;Egoli;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27750818959;Nomathemba;Mgcaleka;1946/01/04;South African;2024/07/17;Cape Town;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27753079529;Thandeka;Mncube;1988/06/04;South African;2024/04/23;Polokwane;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27753445274;Kathleen;John;1949/12/28;South African;2023/09/17;Ekurhuleni;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27753625790;Chep;Ryan;1983/10/25;South African;2023/11/02;Boksburg;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27753729547;Zinhle;Mzileni;1984/12/22;South African;2024/12/04;Cape Town;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27755026696;Zenzele;Njinji;2006/08/20;South African;2025/04/25;Cape Town;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27756849299;Nozizwe;Mzizi;2001/03/14;South African;2023/09/13;Bloemfontein;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27757311186;Thembeka;Mchunu;2007/05/18;South African;2024/02/17;Cape Town;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27758622777;Thandiwe;Ndlangamandla;1975/08/02;South African;2025/06/08;West Rand;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27758773144;Sihawukele;Vundla;1948/02/24;South African;2023/09/09;Durban;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27759434978;Marc;Edwards;1966/09/29;South African;2024/09/10;Pretoria;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27759967153;Nonjabulo;Mzileni;1996/05/08;South African;2025/06/08;Ekurhuleni;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27761164231;Louis;Morris;1976/04/08;South African;2024/08/13;Pretoria;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27761477359;Linda;Wolfe;1962/09/29;South African;2024/08/16;Johannesburg;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27761935085;Andile;Nowanqa;1959/02/12;South African;2023/11/19;Johannesburg;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27763379489;Khanyisile;Mpumuza;1954/10/05;South African;2024/08/08;Pretoria;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27764351821;Zenzile;Mgwaba;1964/05/17;South African;2023/11/26;Welkom;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27765054595;Nobuhle;Mbembe;1964/10/12;South African;2023/12/22;Ekurhuleni;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27765569160;Mnqw;Dlamane;1994/08/03;South African;2025/03/08;East Rand;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27766307074;Kayleigh;Burns;1983/01/27;South African;2023/07/23;Cape Town;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27767240786;Rhys;Davies;1987/05/08;South African;2025/05/04;Cape Town;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27767399287;Dunw;Humphries;1965/05/31;South African;2024/06/16;Vereeniging;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27767578966;Mthokozisi;Myeni;1952/08/17;South African;2024/01/15;Johannesburg;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27767768686;Thembile;Nkundlande;1973/12/26;South African;2024/02/08;Benoni;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27768138021;Jeffrey;Nguyen;1991/11/16;South African;2024/01/09;Johannesburg;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27768158896;Thembisile;Shelembe;1947/08/03;South African;2023/07/22;Cape Town;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27768741126;Jeffery;Wagner;1941/05/25;South African;2024/04/28;Johannesburg;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27770953276;Lwandile;Mhlanga;1989/08/28;South African;2023/07/20;West Rand;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27771440865;Ndumiso;Ngidi;1950/03/04;South African;2023/07/24;Vereeniging;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27771918275;Nomthandazo;Ngema;1942/08/04;South African;2025/04/16;Durban;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27774160565;Linda;Shaw;1996/03/09;South African;2024/10/07;Johannesburg;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27775025294;Brandon;Jones;1947/03/16;South African;2023/11/24;Durban;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27775593486;Bhekisisa;Khubisa;1994/07/17;South African;2024/08/09;Vereeniging;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27776010419;Sheila;Mitchell;1986/07/15;South African;2024/07/21;Johannesburg;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27776745900;Nomvula;Mbhodwe;1987/08/12;South African;2024/11/15;Durban;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27777782468;Mathew;Scott;1983/02/22;South African;2024/09/11;Benoni;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27778724103;Anthony;Taylor;1949/12/28;South African;2024/09/10;Johannesburg;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27779152086;Kart;Carter;1976/04/18;South African;2025/01/13;Johannesburg;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27779234888;Zenzile;Sijadu;1994/10/06;South African;2024/08/07;Durban;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27780056550;Nqobizitha;Khuzwayo;1991/01/09;South African;2024/03/11;Ekurhuleni;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27781102199;Thandeka;Mzila;1951/03/28;South African;2025/01/13;Johannesburg;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27782499920;Zibuyile;Mathula;1962/02/15;South African;2024/01/18;Ekurhuleni;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27782686315;Thando;Mahlalela;1957/08/21;South African;2024/07/20;Polokwane;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27783581201;John;Taylor;1946/07/26;South African;2024/12/19;Durban;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27786740905;Ricky;Price;1996/05/08;South African;2024/11/14;Paarl;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27788255410;Londisizwe;Gotsholo;1943/01/02;South African;2024/06/15;Polokwane;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27788798367;Langalibalele;Khomo;1954/09/23;South African;2023/09/21;Cape Town;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27789209708;Dant;Burton;1993/06/29;South African;2024/02/05;Egoli;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27789600650;Sihawukele;Sothole;1957/09/30;South African;2024/10/27;Ekurhuleni;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27790328958;Lungile;Ntanzi;1964/05/28;South African;2023/10/11;Johannesburg;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27790781178;Mary;Anderson;1965/10/10;South African;2023/09/19;Durban;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27791549028;Sphiwe;Mathula;1970/02/13;South African;2024/03/07;Johannesburg;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27792106918;Ryan;Holland;1954/06/21;South African;2024/03/15;Cape Town;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27792624290;Nomthandazo;Dlungwana;1941/08/14;South African;2024/09/22;Botshabelo;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27795728959;Stacey;Miller;1948/04/30;South African;2023/11/09;Johannesburg;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27795885602;Bhekisisa;Mphephethwa;1943/12/13;South African;2023/09/09;Kimberley;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27796509072;Phillip;Johnston;1978/03/10;South African;2025/02/09;Bloemfontein;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27796967165;Nomagugu;Ayize;2006/08/22;South African;2024/01/30;Botshabelo;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27798062959;Mandla;Yei;1965/07/24;South African;2023/10/08;Witbank;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27798290960;Veronica;Bowman;1977/06/29;South African;2024/07/27;Egoli;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
27798418621;Simphiwe;Mbhense;1957/08/18;South African;2025/01/23;Johannesburg;BlueMobile;2025/08/11 13:33;2025/08/11 13:33
